Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request GET Posts,100,10,6,45,8.22,0.000%,99.80040,17.74,11.99,182.0
TOTAL,100,10,6,45,8.22,0.000%,99.80040,17.74,11.99,182.0
